date,bitcoin,bitcoin_cash,ethereum,litecoin,ripple
20/3/2017,1002.16,312.982,40.153,3.95643,0.00696387
5/7/2017,2562.64,327.787,264.446,52.5788,0.256219
26/2/2015,243.83,311.615,,1.80342,0.0133728
10/10/2015,243.066,595.855,0.599494,3.10635,0.0050897
1/8/2014,601.158,,,7.60359,0.00605148
14/8/2013,101.5,,,2.93786,
23/11/2014,386.854,373.782,,3.80553,0.0054123
5/6/2015,222.597,508.725,,1.69067,0.00802259
17/12/2015,461.439,572.95,0.993618,3.72704,0.00660802
11/10/2015,243.479,598.191,0.660658,3.1345,0.00494066
19/7/2014,629.174,,,8.74961,0.00428851
1/9/2016,574.893,423.851,11.5285,3.78704,0.00603448
21/11/2013,256.82,,,4.5758,0.00719038
17/9/2015,227.961,628.548,0.982715,2.82994,0.00774007
12/12/2013,983.78,,,35.7801,0.0297636
4/11/2014,357.405,288.838,,3.77611,0.00478861
8/9/2013,119.0,,,2.57915,0.00633807
15/6/2017,2635.36,329.357,369.031,29.6445,0.27127
21/8/2017,3889.24,337.192,326.064,46.4216,0.17455
4/6/2013,120.501,,,3.08331,
13/4/2015,244.848,307.061,,1.50615,0.00872743
23/11/2016,740.754,422.22,9.94256,3.95234,0.00741872
10/3/2014,497.98,,,14.1769,0.0138436
4/11/2016,736.802,439.226,11.0141,3.87268,0.0080637
17/7/2015,291.531,607.828,,4.22417,0.00870321
28/7/2015,287.267,662.959,,4.63491,0.00788424
5/7/2015,259.09,717.484,,4.12938,0.0110144
29/4/2016,441.663,416.277,7.33041,3.73086,0.00668921
22/3/2017,1094.32,314.861,43.9347,3.98952,0.00693251
31/10/2013,151.76,,,1.91093,0.00853884
23/2/2015,241.633,323.009,,1.83606,0.0137964
22/12/2013,694.46,,,30.6586,0.0386676
11/6/2017,2875.41,321.548,315.373,30.3299,0.264201
24/10/2013,127.37,,,2.08044,0.00933073
6/6/2015,225.695,478.201,,1.66712,0.00791112
20/2/2016,422.59,583.098,4.65464,3.26804,0.00805601
23/6/2016,672.253,458.016,13.7616,4.00135,0.00614334
1/6/2014,483.302,,,11.4798,0.00440486
1/11/2013,144.13,,,1.95658,0.00798699
6/11/2016,704.692,442.83,11.038,3.87113,0.00822575
17/3/2016,416.812,549.563,13.2124,3.30004,0.0082231
16/4/2014,436.883,,,11.5932,0.00828741
12/2/2014,825.36,,,22.9952,0.0206331
24/2/2014,668.35,,,16.412,0.0167991
28/12/2014,333.14,239.799,,2.67985,0.0242041
10/4/2014,491.286,,,12.9836,0.00905744
4/12/2016,768.924,419.28,7.8326,3.92969,0.00658653
19/9/2014,474.61,395.569,,5.45743,0.00469648
19/9/2017,3916.37,341.406,282.431,52.7486,0.184329
20/9/2017,3896.09,343.884,284.456,51.218,0.180318
5/8/2017,3270.47,325.943,249.049,45.6491,0.184691
16/10/2015,250.13,591.864,0.52611,3.12902,0.00544705
13/5/2014,450.762,,,10.3099,0.00497903
2/7/2014,591.765,,,9.6964,0.00406707
29/8/2015,224.639,638.9,1.13735,2.84544,0.00760642
16/5/2016,455.797,418.252,10.1447,4.0683,0.00601859
5/1/2014,609.69,,,17.344,0.0231614
23/7/2013,77.502,,,2.5908,
6/6/2016,577.988,424.367,13.8547,4.79822,0.00581308
27/2/2014,563.37,,,15.4229,0.0161888
16/1/2017,821.69,364.878,9.89553,3.92204,0.00681552
12/3/2017,1190.7,317.648,20.0186,3.79003,0.00618448
28/10/2015,283.626,571.409,0.680178,3.09472,0.00466002
21/1/2014,919.1,,,24.0103,0.0231652
18/1/2016,382.775,543.963,1.24347,3.05192,0.00506525
22/2/2017,1102.94,326.449,12.7302,3.78978,0.00585802
4/12/2013,674.71,,,9.09769,0.0109638
3/4/2017,1084.98,313.601,49.4834,7.69709,0.0556389
3/6/2017,2400.16,370.734,221.122,28.9329,0.303287
7/6/2013,123.0,,,3.14642,
26/3/2017,950.005,312.468,49.4783,4.07259,0.00935231
20/3/2015,284.199,319.497,,1.9634,0.0110106
13/10/2017,5666.83,416.403,336.841,58.8677,0.264908
14/7/2015,286.052,632.759,,5.27938,0.00873173
20/2/2014,783.21,,,18.4581,0.0173264
5/3/2016,422.763,515.23,8.797,3.32668,0.00816293
24/12/2014,311.418,267.762,,2.86919,0.023427
24/5/2013,112.64,,,3.50018,
21/5/2014,450.369,,,10.3063,0.00573767
17/8/2016,569.174,423.437,11.0346,3.64015,0.00611268
7/5/2015,241.893,294.272,,1.40044,0.00801686
21/10/2014,404.963,327.065,,3.97552,0.00483742
27/7/2017,2721.06,340.165,204.229,42.2496,0.171518
21/3/2015,291.018,328.898,,1.69119,0.0109161
6/1/2016,433.746,480.67,0.960645,3.46565,0.00596056
9/9/2013,120.5,,,2.52787,0.0059671
11/3/2016,413.955,522.306,11.6939,3.27729,0.00805847
4/7/2014,593.671,,,9.22875,0.00397443
2/9/2017,4623.51,326.646,340.872,81.334,0.230405
24/7/2013,76.3915,,,2.78437,
3/5/2014,507.807,,,12.0613,0.0061003
15/1/2014,769.08,,,25.5234,0.028997
7/8/2017,3350.13,322.531,267.197,46.1313,0.180364
28/10/2014,384.58,329.347,,3.76401,0.00521147
12/12/2015,416.948,584.611,0.836892,3.76422,0.00801035
7/3/2017,1270.9,313.8,19.761,3.89762,0.00607647
15/3/2016,414.493,537.067,13.8244,3.29865,0.00854934
17/2/2017,1019.38,331.077,12.8704,3.78097,0.00599059
26/8/2014,460.031,452.139,,5.78817,0.00529561
22/9/2017,3635.22,355.169,262.569,47.8691,0.175217
26/5/2016,448.378,441.321,12.3034,4.00554,0.00588781
19/10/2014,361.012,351.663,,4.12966,0.00484393
20/5/2016,454.0,430.371,14.1337,3.89453,0.00601463
17/1/2015,267.988,208.372,,1.19551,0.0171607
12/9/2016,623.052,449.078,11.879,3.88512,0.00588483
13/8/2014,586.449,507.629,,7.21774,0.0053528
2/4/2016,417.408,538.189,11.6327,3.24017,0.00745174
17/7/2016,664.65,469.713,11.7366,4.13585,0.00648362
5/10/2013,129.75,,,2.53531,0.00961002
28/1/2014,836.54,,,25.0017,0.0222549
17/6/2015,232.483,712.927,,2.00734,0.00827989
20/4/2016,428.271,503.605,9.11414,3.25394,0.00709245
7/2/2014,802.45,,,23.0753,0.0191786
25/5/2015,236.186,299.537,,1.82089,0.00672456
17/12/2014,350.037,377.286,,3.48922,0.0163741
26/7/2013,85.75,,,2.702,
6/4/2014,556.214,,,15.2921,0.0127315
23/8/2016,580.799,422.066,11.2182,3.64776,0.00604137
30/8/2015,227.369,645.446,1.16945,2.90982,0.00744322
27/12/2015,456.03,555.272,0.872318,3.39525,0.00638081
24/4/2015,223.602,295.742,,1.45895,0.00791685
21/1/2017,891.942,364.108,10.5769,3.89257,0.00673711
12/11/2014,336.67,291.55,,3.56977,0.0048651
24/8/2013,103.958,,,2.60786,0.00466886
13/9/2017,3874.68,338.628,280.112,60.1149,0.197533
14/3/2016,412.75,520.56,14.3244,3.30123,0.00863056
12/9/2014,488.176,405.148,,5.08312,0.00481078
21/11/2016,752.467,420.9,9.61463,3.9246,0.00761875
7/3/2014,567.5,,,14.875,0.0149639
1/8/2013,98.9796,,,2.83108,
8/8/2015,284.734,657.649,,4.06365,0.00815291
7/6/2014,584.793,,,10.8631,0.00475602
9/4/2015,253.204,307.222,,1.67042,0.00882831
2/12/2016,753.49,414.923,8.40792,3.9052,0.0067197
21/5/2015,237.378,301.143,,1.45308,0.00570787
11/10/2016,618.237,437.297,11.8416,3.78579,0.00798981
25/8/2017,4371.6,326.4,332.719,50.6261,0.217431
26/1/2016,403.934,626.904,2.10414,3.17247,0.00520026
16/12/2014,350.734,347.91,,3.48501,0.0163741
9/11/2015,388.144,590.688,0.92468,3.53827,0.00469469
5/9/2016,601.474,437.335,11.6586,4.00659,0.00591837
25/6/2016,651.165,469.067,13.8816,4.1945,0.00646066
24/12/2016,913.311,374.811,7.24015,4.6224,0.00626925
13/9/2015,238.504,625.685,0.996344,2.95752,0.00766557
23/6/2014,636.624,,,9.77515,0.00404555
14/7/2014,631.675,,,7.8285,0.00322144
15/12/2014,366.659,399.338,,3.50766,0.0157614
28/4/2016,465.379,436.276,7.48002,4.01373,0.00698654
30/3/2014,622.31,,,17.5924,0.014008
11/1/2014,729.8,,,23.1105,0.0272621
18/12/2014,356.597,375.617,,3.46629,0.0169113
27/6/2016,656.33,484.43,14.1235,4.08817,0.00643173
10/8/2016,587.231,417.287,11.88,3.75114,0.00600846
1/7/2017,2507.89,324.548,282.877,38.5524,0.255277
3/10/2017,4302.91,384.888,292.042,52.9194,0.203855
19/6/2015,236.594,827.719,,2.8933,0.00959849
27/8/2014,477.45,447.609,,5.07553,0.00515281
29/3/2015,246.765,322.587,,1.68222,0.00917391
31/1/2015,299.413,324.639,,1.92549,0.0155833
25/6/2015,243.891,771.514,,2.98153,0.010582
1/6/2013,115.5,,,3.32471,
30/10/2017,6172.73,463.468,309.205,57.2193,0.203876
5/7/2013,107.9,,,2.81578,
